UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number,Total Generation (MW),Coal Generation (MW),Gas Generation (MW),Hydro Generation (MW),Multiple Fuels Generation (MW),Nuclear Generation (MW),Oil Generation (MW),Other Generation (MW),Other Renewables Generation (MW),Solar Generation (MW),Storage Generation (MW),Wind Generation (MW)
1/1/2023 6:00,1/1/2023 0:00,1/1/2023 1:00,1/1/2023,1,79930.9,11794.4,25872.4,1235.4,3.2,33968.2,194.7,180,619.5,8.4,0,6054.7
1/1/2023 7:00,1/1/2023 1:00,1/1/2023 2:00,1/1/2023,2,78907,11376.3,24761.5,1132.4,3.2,33961.8,192.1,180,634.7,8.4,0,6656.6
1/1/2023 8:00,1/1/2023 2:00,1/1/2023 3:00,1/1/2023,3,77068.6,11391.4,23542.3,1301,3.2,33957.7,193.2,180.1,640.1,8.4,0,5851.2
1/1/2023 9:00,1/1/2023 3:00,1/1/2023 4:00,1/1/2023,4,76846.1,11439,24226.3,932.2,3.2,33976.7,194.5,179.4,625.9,8.4,0,5260.5
1/1/2023 10:00,1/1/2023 4:00,1/1/2023 5:00,1/1/2023,5,75944.2,11260.9,24047.5,924.3,3.2,33978.9,195.5,179.8,630.8,8.4,0,4714.9
1/1/2023 11:00,1/1/2023 5:00,1/1/2023 6:00,1/1/2023,6,75143.7,10947.2,23464.8,941.2,3.1,33989,196.9,180.3,635.1,8.4,0,4777.7
1/1/2023 12:00,1/1/2023 6:00,1/1/2023 7:00,1/1/2023,7,75226.5,10999.2,23697.1,1010.1,3.2,33999.3,196.8,179.7,620,8.4,0,4512.7
1/1/2023 13:00,1/1/2023 7:00,1/1/2023 8:00,1/1/2023,8,76504.1,11005.6,25044.5,1665.2,3.2,34011.3,196.1,181.4,635.3,9.5,0,3752
1/1/2023 14:00,1/1/2023 8:00,1/1/2023 9:00,1/1/2023,9,77901.8,11148.8,26462.7,1958.2,3.2,34016.9,192.6,181,634.2,315.5,0,2988.7
1/1/2023 15:00,1/1/2023 9:00,1/1/2023 10:00,1/1/2023,10,77830.2,11116.8,26096.8,1756.4,3.2,33998.6,192.7,302.6,625.8,1089.9,0,2647.4
1/1/2023 16:00,1/1/2023 10:00,1/1/2023 11:00,1/1/2023,11,78472,11138.4,27133.8,1241.8,3.2,33985.4,194,331.4,623.7,1754.6,0,2065.7
1/1/2023 17:00,1/1/2023 11:00,1/1/2023 12:00,1/1/2023,12,79179.8,11103.4,28071,1250.9,3.1,33989.3,196,322.5,620.9,1869,0,1753.7
1/1/2023 18:00,1/1/2023 12:00,1/1/2023 13:00,1/1/2023,13,79925.3,11106.9,28858.9,1380.1,3.2,33981.3,191.8,328.8,623.7,1894.8,0,1555.8
1/1/2023 19:00,1/1/2023 13:00,1/1/2023 14:00,1/1/2023,14,80262,11093,29389.1,1274.5,3.2,33995.3,183.4,338.7,625.8,1791,0,1568
1/1/2023 20:00,1/1/2023 14:00,1/1/2023 15:00,1/1/2023,15,80428.5,11149.4,29514.3,1316.2,3.1,33987.4,188.1,374.1,619.1,1782.9,0,1493.9
1/1/2023 21:00,1/1/2023 15:00,1/1/2023 16:00,1/1/2023,16,80594,11098.8,30275.6,1477.3,3.1,33992,188,316.4,618,1251.6,0,1373.2
1/1/2023 22:00,1/1/2023 16:00,1/1/2023 17:00,1/1/2023,17,83023.2,11121.4,33006.8,2433.1,338.1,33981.2,187.1,151.8,631.3,214.4,0,958
1/1/2023 23:00,1/1/2023 17:00,1/1/2023 18:00,1/1/2023,18,87308.5,11156.7,35239.1,4550.1,339.2,33987,184.3,195,620.8,8.4,0,1027.9
