UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number,Total Generation (MW),Coal Generation (MW),Gas Generation (MW),Hydro Generation (MW),Multiple Fuels Generation (MW),Nuclear Generation (MW),Oil Generation (MW),Other Renewables Generation (MW),Solar Generation (MW),Storage Generation (MW),Wind Generation (MW)
1/1/2024 6:00,1/1/2024 0:00,1/1/2024 1:00,1/1/2024,1,91854,13631,37746,1480,355,33715,221,690,12,0,4004
1/1/2024 7:00,1/1/2024 1:00,1/1/2024 2:00,1/1/2024,2,91363,13580,37586,1426,355,33724,221,692,12,0,3767
1/1/2024 8:00,1/1/2024 2:00,1/1/2024 3:00,1/1/2024,3,89613,12926,36587,1424,356,33746,219,689,12,0,3654
1/1/2024 9:00,1/1/2024 3:00,1/1/2024 4:00,1/1/2024,4,89644,12636,36964,1418,357,33744,220,687,12,0,3606
1/1/2024 10:00,1/1/2024 4:00,1/1/2024 5:00,1/1/2024,5,88835,12409,36491,1410,357,33745,224,694,12,0,3493
1/1/2024 11:00,1/1/2024 5:00,1/1/2024 6:00,1/1/2024,6,89517,12576,37074,1528,357,33770,228,694,12,0,3278
1/1/2024 12:00,1/1/2024 6:00,1/1/2024 7:00,1/1/2024,7,89758,12676,37110,1807,357,33777,228,678,12,0,3113
1/1/2024 13:00,1/1/2024 7:00,1/1/2024 8:00,1/1/2024,8,90700,12994,37574,2106,357,33773,227,671,23,16,2959
1/1/2024 14:00,1/1/2024 8:00,1/1/2024 9:00,1/1/2024,9,91771,13280,38546,2120,357,33781,225,666,294,20,2482
1/1/2024 15:00,1/1/2024 9:00,1/1/2024 10:00,1/1/2024,10,92821,13453,39093,2129,358,33778,223,665,952,19,2151
1/1/2024 16:00,1/1/2024 10:00,1/1/2024 11:00,1/1/2024,11,93858,14051,39616,1646,358,33745,219,667,1524,6,2026
1/1/2024 17:00,1/1/2024 11:00,1/1/2024 12:00,1/1/2024,12,94646,14497,39827,1842,357,33659,218,677,1828,0,1741
1/1/2024 18:00,1/1/2024 12:00,1/1/2024 13:00,1/1/2024,13,94946,14831,40132,1922,357,33630,217,678,1629,0,1550
1/1/2024 19:00,1/1/2024 13:00,1/1/2024 14:00,1/1/2024,14,95834,15284,41061,1891,355,33423,218,681,1331,0,1590
1/1/2024 20:00,1/1/2024 14:00,1/1/2024 15:00,1/1/2024,15,95496,15120,41260,1932,354,33119,216,685,1027,0,1783
1/1/2024 21:00,1/1/2024 15:00,1/1/2024 16:00,1/1/2024,16,96010,15163,41609,2527,355,32899,215,694,658,0,1890
1/1/2024 22:00,1/1/2024 16:00,1/1/2024 17:00,1/1/2024,17,97932,15538,42956,3276,353,32720,214,697,177,0,2001
1/1/2024 23:00,1/1/2024 17:00,1/1/2024 18:00,1/1/2024,18,101802,16175,45122,4612,354,32720,214,700,12,15,1878
1/2/2024 0:00,1/1/2024 18:00,1/1/2024 19:00,1/1/2024,19,102090,15893,45285,5115,355,32645,212,702,12,16,1855
1/2/2024 1:00,1/1/2024 19:00,1/1/2024 20:00,1/1/2024,20,101148,15754,45229,4166,356,32636,212,699,12,15,2069
1/2/2024 2:00,1/1/2024 20:00,1/1/2024 21:00,1/1/2024,21,99862,15682,44946,3142,358,32578,215,693,12,6,2230
1/2/2024 3:00,1/1/2024 21:00,1/1/2024 22:00,1/1/2024,22,98257,15796,43960,2408,357,32516,217,692,12,0,2299
1/2/2024 4:00,1/1/2024 22:00,1/1/2024 23:00,1/1/2024,23,95801,15763,42661,1160,357,32517,216,691,12,0,2424
1/2/2024 5:00,1/1/2024 23:00,1/2/2024 0:00,1/1/2024,24,94395,15473,41125,1100,359,32515,220,691,12,0,2900
1/2/2024 6:00,1/2/2024 0:00,1/2/2024 1:00,1/2/2024,1,91155,14398,38564,1058,359,32530,221,693,12,0,3320
1/2/2024 7:00,1/2/2024 1:00,1/2/2024 2:00,1/2/2024,2,89765,13473,37586,1031,361,32531,221,681,12,0,3869
1/2/2024 8:00,1/2/2024 2:00,1/2/2024 3:00,1/2/2024,3,89539,12983,37506,1026,361,32538,221,691,12,0,4201
1/2/2024 9:00,1/2/2024 3:00,1/2/2024 4:00,1/2/2024,4,89495,12943,37539,1023,361,32538,222,695,12,0,4162
1/2/2024 10:00,1/2/2024 4:00,1/2/2024 5:00,1/2/2024,5,89242,12741,37212,1068,343,32534,222,698,12,0,4412
1/2/2024 11:00,1/2/2024 5:00,1/2/2024 6:00,1/2/2024,6,92461,13235,38607,2062,296,32532,223,702,12,0,4792
1/2/2024 12:00,1/2/2024 6:00,1/2/2024 7:00,1/2/2024,7,97794,13707,41384,3952,347,32528,225,694,12,15,4930
1/2/2024 13:00,1/2/2024 7:00,1/2/2024 8:00,1/2/2024,8,103663,15021,44422,4971,361,32520,227,691,35,16,5399
1/2/2024 14:00,1/2/2024 8:00,1/2/2024 9:00,1/2/2024,9,105701,15979,44831,4618,362,32524,227,692,838,15,5615
1/2/2024 15:00,1/2/2024 9:00,1/2/2024 10:00,1/2/2024,10,105876,15946,44592,3524,361,32533,223,693,2319,13,5672
1/2/2024 16:00,1/2/2024 10:00,1/2/2024 11:00,1/2/2024,11,104821,16026,44336,1781,360,32535,221,699,2844,0,6019
1/2/2024 17:00,1/2/2024 11:00,1/2/2024 12:00,1/2/2024,12,102654,15278,42419,1480,359,32533,219,703,2953,0,6710
1/2/2024 18:00,1/2/2024 12:00,1/2/2024 13:00,1/2/2024,13,102403,14912,42157,1211,358,32544,217,692,3103,0,7209
1/2/2024 19:00,1/2/2024 13:00,1/2/2024 14:00,1/2/2024,14,102636,14938,42328,1154,357,32530,215,689,3224,0,7201
1/2/2024 20:00,1/2/2024 14:00,1/2/2024 15:00,1/2/2024,15,101965,14927,42038,1119,358,32529,221,696,3195,0,6882
1/2/2024 21:00,1/2/2024 15:00,1/2/2024 16:00,1/2/2024,16,101717,14994,42405,1481,357,32527,214,695,2352,0,6692
1/2/2024 22:00,1/2/2024 16:00,1/2/2024 17:00,1/2/2024,17,102786,15316,44614,2494,356,32517,212,697,635,0,5945
1/2/2024 23:00,1/2/2024 17:00,1/2/2024 18:00,1/2/2024,18,107385,15957,47602,4569,358,32517,211,703,20,15,5433
1/3/2024 0:00,1/2/2024 18:00,1/2/2024 19:00,1/2/2024,19,110188,16981,48355,5748,358,32515,211,698,12,14,5296
1/3/2024 1:00,1/2/2024 19:00,1/2/2024 20:00,1/2/2024,20,110175,17229,48447,5455,359,32523,210,694,12,0,5246
1/3/2024 2:00,1/2/2024 20:00,1/2/2024 21:00,1/2/2024,21,108549,17604,47391,4257,359,32521,214,695,12,0,5496
1/3/2024 3:00,1/2/2024 21:00,1/2/2024 22:00,1/2/2024,22,105902,17960,46567,2439,359,32530,217,685,12,0,5133
1/3/2024 4:00,1/2/2024 22:00,1/2/2024 23:00,1/2/2024,23,102500,17425,45112,1502,359,32533,219,687,12,0,4651
1/3/2024 5:00,1/2/2024 23:00,1/3/2024 0:00,1/2/2024,24,99492,16737,43514,1306,359,32534,221,690,12,0,4119
1/3/2024 6:00,1/3/2024 0:00,1/3/2024 1:00,1/3/2024,1,97544,16198,42686,1223,359,32536,226,689,12,0,3615
1/3/2024 7:00,1/3/2024 1:00,1/3/2024 2:00,1/3/2024,2,96881,16260,42456,1111,361,32530,220,683,12,0,3248
1/3/2024 8:00,1/3/2024 2:00,1/3/2024 3:00,1/3/2024,3,96608,16404,42561,1109,361,32530,228,694,12,0,2709
1/3/2024 9:00,1/3/2024 3:00,1/3/2024 4:00,1/3/2024,4,96688,16529,42532,1326,361,32531,231,687,12,0,2479
1/3/2024 10:00,1/3/2024 4:00,1/3/2024 5:00,1/3/2024,5,97189,16381,43261,1350,361,32530,233,687,12,0,2374
1/3/2024 11:00,1/3/2024 5:00,1/3/2024 6:00,1/3/2024,6,98696,16267,44860,1614,362,32525,266,691,12,0,2099
1/4/2024 19:00,1/4/2024 13:00,1/4/2024 14:00,1/4/2024,14,105413,18760,47842,1461,352,32508,222,696,1940,0,1632
1/4/2024 20:00,1/4/2024 14:00,1/4/2024 15:00,1/4/2024,15,104759,18401,47639,1438,353,32510,216,701,1972,0,1529
1/4/2024 21:00,1/4/2024 15:00,1/4/2024 16:00,1/4/2024,16,104652,17932,47873,1828,405,32504,216,695,1773,0,1426
