UTC Timestamp (Interval Ending),Local Timestamp Eastern Time (Interval Beginning),Local Timestamp Eastern Time (Interval Ending),Local Date,Hour Number,PJM Total Actual Load (MW),Atlantic Electric Company Actual Load (MW),"American Electric Power Co., Inc - Appalachian Actual Load (MW)","American Electric Power Co., Inc - Indiana Michigan Actual Load (MW)","American Electric Power Co., Inc - Kentucky Actual Load (MW)","American Electric Power Co., Inc - Ohio Actual Load (MW)",Allegheny Power System Actual Load (MW),Baltimore Gas and Electric Company Actual Load (MW),ComEd Actual Load (MW),Dayton Power and Light Company Actual Load (MW),Duke Energy Ohio/Kentucky Actual Load (MW),Dominion Energy Actual Load (MW),Delmarva Power and Light Actual Load (MW),Duquesne Light Actual Load (MW),Easton Utilities Actual Load (MW),East Kentucky Power Coop Actual Load (MW),Jersey Central Power and Light Company Actual Load (MW),Metropolitan Edison Company Actual Load (MW),Orion Energy Actual Load (MW),Ohio Valley Electric Actual Load (MW),PAPWR Actual Load (MW),Pennsylvania Electric Company Actual Load (MW),Potomac Electric Power Actual Load (MW),Pennsylvania Power and Light Company Actual Load (MW),First Energy - Pennsylvania Electric Company Actual Load (MW),Public Service Electric and Gas Company Actual Load (MW),Rockland Electric Actual Load (MW),Southern Maryland Electric Coop Actual Load (MW),UGI Electric Service Actual Load (MW),Vineland Municipal Electric Utility Actual Load (MW)
1/1/2025 6:00,1/1/2025 0:00,1/1/2025 1:00,1/1/2025,1,79087.296,870.261,4070.764,2613.607,630.671,6290.276,4983.073,2889.348,9569.912,1667.68,2538.273,12464.208,1695.384,1299.378,23.448,1692.863,2081.664,1142.205,6048.698,39,399.402,3576.373,2234.328,3950.118,1595.745,4065.429,128.186,358.297,103.183,65.522
1/1/2025 7:00,1/1/2025 1:00,1/1/2025 2:00,1/1/2025,2,77817.817,849.973,4048.419,2578.711,620.863,6272.861,4916.158,2849.47,9351.387,1642.68,2492.391,12350.459,1660.454,1281.09,23.175,1703.133,1999.858,1118.067,5930.039,36,401.287,3435.604,2212.661,3847.069,1591.224,3963.141,124.659,353.838,98.877,64.269
1/1/2025 8:00,1/1/2025 2:00,1/1/2025 3:00,1/1/2025,3,76691.75,822.307,4064.305,2550.58,617.875,6220.314,4858.134,2801.299,9192.332,1611.68,2475.554,12217.964,1634.267,1295.316,22.952,1677.335,1926.544,1093.833,5865.1,33,399.644,3366.035,2156.297,3743.034,1571.61,3847.916,119.817,347.869,96.33,62.507
1/1/2025 9:00,1/1/2025 3:00,1/1/2025 4:00,1/1/2025,4,76199.223,806.422,4107.928,2478.585,624.582,6145.519,4910.576,2769.025,9082.426,1603.69,2452.084,12219.537,1627.739,1288.29,22.745,1674.022,1893.457,1076.093,5868.162,35,402.116,3309.721,2121.47,3731.82,1563.391,3763.741,117.142,347.96,94.065,61.915
1/1/2025 10:00,1/1/2025 4:00,1/1/2025 5:00,1/1/2025,5,76518.656,808.329,4152.529,2539.176,627.061,6177.637,4963.218,2774.589,9043.957,1610.68,2455.113,12352.18,1647.97,1300.005,23.283,1640.92,1888.278,1075.389,5808.812,40,411.846,3323.26,2110.066,3761.917,1593.894,3763.383,116.292,352.814,94.061,61.997
1/1/2025 11:00,1/1/2025 5:00,1/1/2025 6:00,1/1/2025,6,77973.97,814.683,4257.212,2566.208,643.817,6266.873,5108.8,2859.281,9077.63,1631.69,2498.827,12674.488,1688.583,1332.452,23.903,1632.719,1937.013,1098.476,5904.974,34,420.786,3408.147,2192.772,3825.437,1633.874,3804.729,118.483,358.969,95.762,63.382
1/1/2025 12:00,1/1/2025 6:00,1/1/2025 7:00,1/1/2025,7,79998.718,837.518,4341.537,2623.876,659.236,6365.559,5201.691,2973.741,9238.104,1676.68,2557.991,13079.089,1755.737,1358.922,25.197,1699.616,1989.948,1139.002,6018.465,35,441.443,3505.901,2297.557,3973.157,1657.81,3886.428,122.31,372.686,99.08,65.437
1/1/2025 13:00,1/1/2025 7:00,1/1/2025 8:00,1/1/2025,8,81982.411,843.764,4446.238,2709.317,677.809,6481.917,5356.011,3039.658,9446.33,1718.71,2625.941,13434.728,1800.135,1386.592,26.592,1786.223,2011.128,1183.452,6172.46,35,449.575,3585.352,2386.519,4109.899,1707.357,3884.524,122.766,388.462,101.238,64.714
1/1/2025 14:00,1/1/2025 8:00,1/1/2025 9:00,1/1/2025,9,82866.287,818.414,4508.791,2763.632,677.805,6556.999,5491.908,3047.718,9554.298,1760.993,2675.747,13374.276,1820.938,1401.811,26.783,1886.19,1980.445,1228.145,6231.927,34,465.663,3660.301,2401.804,4246.772,1766.802,3807.574,121.185,389.422,105.423,60.521
1/1/2025 15:00,1/1/2025 9:00,1/1/2025 10:00,1/1/2025,10,83701.098,751.428,4557.516,2818.388,700.334,6747.19,5653.845,3007.175,9554.569,1833.632,2799.559,13172.982,1784.038,1437.164,26.402,1932.165,1929.649,1264.395,6426.489,37,478.724,3803.913,2332.756,4441.107,1842.837,3702.747,119.965,379.853,111.889,53.387
1/1/2025 16:00,1/1/2025 10:00,1/1/2025 11:00,1/1/2025,11,85337.248,741.506,4587.797,2941.708,708.689,6965.69,5676.814,3017.721,9653.713,1921.073,2914.398,13063.283,1793.235,1488.985,26.177,2057.521,2013.282,1317.056,6616.695,42,497.6,3930.548,2387.719,4596.066,1904.206,3790.085,125.766,384.426,118.069,55.42
1/1/2025 17:00,1/1/2025 11:00,1/1/2025 12:00,1/1/2025,12,86892.203,825.011,4554.298,2962.339,718.434,7122.472,5809.269,3071.975,9857.667,1992.465,3016.387,13054.228,1808.976,1525.501,25.685,2102.372,2038.655,1355.045,6769.082,33,510.085,4063.635,2396.844,4696.243,1950.652,3927.543,132.144,387.405,123.277,61.514
